Item,Supplier ,Amount,Price per,Price total,Link
50mm m4 screws,Amazon,1,$9.38,$9.38,https://www.amazon.com/dp/B089NJRS78?ref=ppx_yo2ov_dt_b_fed_asin_title&th=1
Solid lead screw couplers,Amazon,2,$8.99,$17.98,https://www.amazon.com/Befenybay-Coupling-Diameter-Coupler-Aluminum/dp/B07WZJSLBL?crid=2S62SM2C41B91&dib=eyJ2IjoiMSJ9.Txkk-WiRYAb2mqsBjxgqMWu13ikMMlkeMF4T1K1vczXSJWJ5fwYtpZiXsNNIcH9o9xUG1rrwL1vawgvtBN7ATiy9G1jKiWeKNoPokm152iM6Nj0PsfW2gXh5V2rux1CNqDWbGc0FhzBX1p317xeYrcQs7GY5rhlWdCwBquCfddoUew3UakugchFFUg4icJh7DjSCENy4Z97e0ws0Ca3W_wnfWsBLNeSttN6bqTQ52AE.3ghONd7dA526Nb3KKHr8sipHf24EviCEXtGbcv7037c&dib_tag=se&keywords=shaft%2Bcoupler%2B8mm%2Bto%2B8mm&qid=1745780175&sprefix=shaft%2Bcoupler%2B8mm%2Bto%2B8mm%2Caps%2C161&sr=8-10&th=1
nema 17 stepper motor,Amazon,1,$14.99,$14.99,https://www.amazon.com/CNCTOPBAOS-Stepper-2-Phase-17HS4218-Engraver/dp/B09FLG1VPF?crid=3431F7RJZJO4T&dib=eyJ2IjoiMSJ9.2rehcrLPyhr3dko7RuLrbLjzHd4sfS59kJtTHookfe_FVBV6QFUAtVca_4sqGXWG98tyaqJHSMSacqMTKLzB7bnAd2Ow7OfuJnkgt39e5wWaK1GFuydj3fA1TufSTOHwGVtyT-rFzOlm0HCTxYAKrX5jEdlGz1CqhLer_waOjh1j9LQN1pnI1ZQJFpXtbnm8.lNkeM9P71tA2uewRaMubKMRxfRYadDQQGjJ0bJBRXIk&dib_tag=se&keywords=nema+17&qid=1745779911&sprefix=nema+17%2Caps%2C248&sr=8-19&xpid=Nh-QG1XuaLlTQ
2 more carriages for z ,Amazon,2,$10.92,$21.84,https://www.amazon.com/KGTCN-Miniature-Sliding-Machine-Printer/dp/B0C3CSKTVN/ref=sr_1_6?crid=2A3OQ6VF0XSG8&dib=eyJ2IjoiMSJ9.IACa4ve0C-4Wpaz_bjlSbY85_eJK8CBB1lFFnxvnaiAaWXVmQ2zS02OieTyzTskKKANcdL_DFxzkw8ayaRbmg5HvkiRShzzdGZHPvu5YiSSzwZvYnMPXsMnlbP_a-_d_EMDoilV1StHGdnORH02Ps7uNuUhD_-Olo2z4lQeCEPKoluCdbZahRaWtvonrelR1kZtf2RSvbgoD6HUjradtEnGpAVoWzpbXM9v9kvEEnN-AJdKWXllDj7Amx5ve0CwKn3cM8Ark4e5UX0_E4aiHnbtHPmxkQGDONUBntU0cS_I.GGoKayODgF5CXKhR4Mx6rP9y0NyKk3SpY6RyP2_iAMs&dib_tag=se&keywords=mgn9%2Bcarriage&qid=1748578141&s=industrial&sprefix=mgn9%2Bcarriag%2Cindustrial%2C198&sr=1-6&th=1
electromagnetic shielding,Amazon,1,$17.99,$17.99,https://www.amazon.com/Tinned-Copper-Braided-Sleeving-Diameter/dp/B01BIBQ940?crid=2ZMQC4DCIRPEK&dib=eyJ2IjoiMSJ9.aVjfZ2ZkWk_77AeNaFarHE50DdM0zyXDnUS4v-JNS3FdDqEduGYyqlS7FOeEN73GOvfe7H9x2AJhIGbGRVUKD2MxPzXPIFtVr624BjEqFVBHZTvSVFUYo8AmzFOhYLFm7nTe8BayzYvE1KVK5xOQn4xM99GJ5MjilOmwo1WaGgltaWf8s-6Lv6Dw0hGIN6L6NooF1ffwZZllhqleMCzq7NzFTYjT7EW0FjQxGdstbqU._0WOK8ls-Q96_mGTCA74PjOljmOSISV1gzJdPskn8u0&dib_tag=se&keywords=emi%2Bshielding%2Bsleeve&qid=1745990756&sprefix=emi%2Bshi%2Caps%2C213&sr=8-3&th=1
Cable chain ,Amazon,1,$11.99,$11.99,https://www.amazon.com/dp/B07QVKL1H6/?coliid=I1AD8NK504AR2V&colid=39P1VAIP6UUD2&ref_=list_c_wl_lv_ov_lig_dp_it&th=1
weideer 2322pcs M3 Screw Assortment Kit,Amazon,1,$25.99,$25.99,https://www.amazon.com/dp/B0DS8HYF64/?_encoding=UTF8&pd_rd_i=B0DS8HYF64&ref_=sbx_be_s_sparkle_ssd_tt&qid=1746812818&pd_rd_w=kfN4t&content-id=amzn1.sym.8591358d-1345-4efd-9d50-5bd4e69cd942%3Aamzn1.sym.8591358d-1345-4efd-9d50-5bd4e69cd942&pf_rd_p=8591358d-1345-4efd-9d50-5bd4e69cd942&pf_rd_r=K7647VVM8ZWWRHD9NR08&pd_rd_wg=wuod4&pd_rd_r=7c566d0e-e711-40ca-bd59-e89fe7f7afad&pd_rd_plhdr=t&th=1
Filament 1kg,Amazon,3,$20.99,$62.97,https://www.amazon.com/Overture-Filament-Professional-Toughness-Dimensional/dp/B07YDN56F2/ref=sr_1_1_sspa?crid=L27GF76POXWT&dib=eyJ2IjoiMSJ9.AE0iBp8O-P2sHfK2Irbj3XafN2ctyCkSAMlt2pJrH0-TU35mei0Dwd_6205oLkCFYS7SEGFyQ-cCg5bDP-aeDh2njFU0yNCV_K40TFiW9i83CR1SRVZqY_tHegOoKHYazBaa5T045h5Dafl2Mt-EExoCKUWCjsq0kpknKs1qR-5lb64MpWg4yja6gLN-O2MpT9W6lPMBTKeW8WRmgTs9dt1Yp-oPOTbWOqvXLe4LHyc.4FiFcBUYRLu0j-E_X31Kt3oDga-fDZWPyWWDMnNCaBg&dib_tag=se&keywords=super+pla&qid=1752713127&sprefix=super+pl%2Caps%2C196&sr=8-1-spons&sp_csd=d2lkZ2V0TmFtZT1zcF9hdGY&psc=1
"1501 Series M4 x 0.7mm Standoff (6mm OD, 58mm Length) - 4 Pack",GoBilda,1,$5.99,$5.99,https://www.gobilda.com/1501-series-m4-x-0-7mm-standoff-6mm-od-58mm-length-4-pack/
 1/2 in bar,The Depot,1,$13.27,$13.27,https://www.homedepot.com/p/Everbilt-1-2-in-x-4-ft-1-8-in-Thick-Plain-Steel-Flat-Bar-0702/332734311
16 AWG wire x4,The Depot,4,$6.63,$26.52,https://www.homedepot.com/p/Cerrowire-24-ft-16-Gauge-Red-Stranded-Primary-Wire-207-1203R24/202206417
Switch,The Depot,1,$4.96,$4.96,https://www.homedepot.com/p/Gardner-Bender-10-Amp-Single-Pole-Illuminated-Rocker-Black-Switch-GSW-49/300349420
Tool repair cord,The Depot,1,$16.68,$16.68,https://www.homedepot.com/p/Husky-9-ft-14-3-Medium-Duty-Tool-Replacement-Cord-Black-HD-342-576/303679849
M5x16 screws 2pc,The Depot,12,$2.25,$27.00,https://www.homedepot.com/p/5-mm-0-8-x-16-mm-Internal-Hex-Plain-Steel-Metric-Socket-Cap-Screw-2-Pieces-803288/204274287
Lag Bolts for router clamp,The Depot,4,$3.75,$15.00,https://www.homedepot.com/p/M8-1-25-x-50-mm-Class-8-8-Zinc-Plated-Hex-Bolt-801718/204273672?MERCH=REC-_-plpsearch_multi-_-204273673-_-0-_-n/a-_-n/a-_-n/a-_-n/a-_-n/a
Nuts for router clamp,The Depot,2,$3.75,$7.50,https://www.homedepot.com/p/Everbilt-M8-1-25-Zinc-Metric-Hex-Nut-5-per-Bag-802418/204281770
Wago direct conenctors,The Depot,1,$21.97,$21.97,https://www.homedepot.com/p/WAGO-221-2401-Lever-Nuts-Inline-2-Wire-Splicing-Connectors-25-Pack-0221240K000-0012/330518029
,,,Total,811.11,Plus Tax
